pathogen,yob,province,n,vacage_group,anyshot,shots_1,shots_2,shots_3,shots_4,coverage
Mumps,2018,Hoà Bình,15529,(0-1y],84,83,1,0,0,0.005409234335758903
Mumps,2018,Hoà Bình,15529,all,1255,1121,134,0,0,0.08081653680211218
Mumps,2018,Hưng Yên,23890,(0-1y],736,735,1,0,0,0.030807869401423188
Mumps,2018,Hưng Yên,23890,all,5958,5063,877,17,0,0.2493930514859774
Mumps,2018,Hải Dương,37034,(0-1y],858,852,6,0,0,0.02316789976778096
Mumps,2018,Hải Dương,37034,all,8582,6881,1651,49,1,0.2317330021061727
Mumps,2018,Hải Phòng,44195,(0-1y],475,473,2,0,0,0.01074782215182713
Mumps,2018,Hải Phòng,44195,all,7931,7407,519,5,0,0.1794546894445073
Mumps,2018,Hậu Giang,16185,(0-1y],37,37,0,0,0,0.0022860673463083103
Mumps,2018,Hậu Giang,16185,all,884,781,103,0,0,0.05461847389558233
Mumps,2018,Khánh Hòa,28351,(0-1y],612,610,2,0,0,0.021586540157313674
Mumps,2018,Khánh Hòa,28351,all,3451,2912,536,3,0,0.12172410144262989
Mumps,2018,Kiên Giang,39568,(0-1y],306,302,4,0,0,0.007733522038010514
Mumps,2018,Kiên Giang,39568,all,1748,1533,213,2,0,0.04417711281843914
Mumps,2018,Kon Tum,13940,(0-1y],26,26,0,0,0,0.0018651362984218078
Mumps,2018,Kon Tum,13940,all,666,632,34,0,0,0.04777618364418938
Mumps,2018,Lai Châu,11285,(0-1y],12,12,0,0,0,0.0010633584404076207
Mumps,2018,Lai Châu,11285,all,272,219,53,0,0,0.02410279131590607
Mumps,2018,Long An,24339,(0-1y],149,149,0,0,0,0.006121862032129504
Mumps,2018,Long An,24339,all,4391,3880,511,0,0,0.1804100414971856
Mumps,2018,Lào Cai,17590,(0-1y],71,71,0,0,0,0.004036384309266628
Mumps,2018,Lào Cai,17590,all,1063,1025,37,1,0,0.06043206367254122
Mumps,2018,Lâm Đồng,29886,(0-1y],91,91,0,0,0,0.003044903968413304
Mumps,2018,Lâm Đồng,29886,all,3329,3187,142,0,0,0.11138994847085591
Mumps,2018,Lạng Sơn,15361,(0-1y],276,275,1,0,0,0.01796758023566174
Mumps,2018,Lạng Sơn,15361,all,1118,926,190,2,0,0.07278171994010807
Mumps,2018,Nam Định,35513,(0-1y],876,875,1,0,0,0.02466702334356433
Mumps,2018,Nam Định,35513,all,7276,6417,849,10,0,0.2048827190043083
Mumps,2018,Nghệ An,80896,(0-1y],353,353,0,0,0,0.004363627373417721
Mumps,2018,Nghệ An,80896,all,9134,8098,1026,10,0,0.11291040348101265
Mumps,2018,Ninh Bình,21567,(0-1y],560,557,3,0,0,0.02596559558584875
Mumps,2018,Ninh Bình,21567,all,3056,2569,476,11,0,0.1416979644827746
Mumps,2018,Ninh Thuận,15414,(0-1y],57,57,0,0,0,0.0036979369404437526
Mumps,2018,Ninh Thuận,15414,all,984,886,98,0,0,0.06383806928766057
Mumps,2018,Phú Thọ,24418,(0-1y],256,256,0,0,0,0.01048406912933082
Mumps,2018,Phú Thọ,24418,all,7814,7277,531,6,0,0.32000982881480877
